Index	e_above_hull	formation_energy	Sn_fraction
mp-0	0.234305	0.234305	1.000000
mp-1	0.002641	-0.220260	0.000000
mp-2	0.239670	0.239670	1.000000
mp-3	0.043833	0.043833	0.000000
mp-4	0.100175	-0.360468	0.222222
mp-5	0.110496	0.110496	0.750000
mp-6	0.006197	0.006197	0.000000
mp-7	0.000000	-0.265455	0.000000
mp-8	0.066793	-0.151760	0.750000
mp-9	0.242216	0.242216	1.000000
mp-10	0.068068	-0.318920	0.000000
mp-11	0.029317	0.029317	0.000000
mp-12	0.116312	0.116312	0.750000
mp-13	0.006123	0.006123	0.000000
mp-14	0.087715	-0.225721	0.000000
mp-15	0.095584	-0.341523	0.500000
mp-16	0.085413	-0.298456	0.185185
mp-17	0.206369	0.206369	1.000000
mp-18	0.087757	-0.225679	0.000000
mp-19	0.210673	0.210673	1.000000
mp-20	0.007774	0.007774	0.000000
mp-21	0.006176	0.006176	0.000000
mp-22	0.054433	0.054433	0.250000
mp-23	0.000000	0.000000	0.000000
mp-24	0.074322	-0.345664	0.000000
mp-25	0.092542	-0.344565	0.500000
mp-26	0.000000	0.000000	1.000000
mp-27	0.018804	-0.179331	0.000000
mp-28	0.021568	0.021568	0.000000
mp-29	0.114978	0.114978	0.750000
mp-30	0.224530	0.224530	0.000000
mp-31	0.026430	-0.130913	0.000000
mp-32	0.098959	-0.381009	0.300000
mp-33	0.077801	-0.317035	0.190476
mp-34	0.184284	0.184284	1.000000
mp-35	0.181591	-0.108925	0.000000
mp-36	0.018634	0.018634	0.000000
mp-37	0.025681	0.025681	0.000000
mp-38	0.011924	0.011924	0.000000
mp-39	1.211184	0.770763	0.250000
mp-40	0.046511	0.046511	0.000000
mp-41	0.105822	-0.378908	0.277778
mp-42	0.000000	-0.222902	0.000000
mp-43	0.198760	0.198760	1.000000
mp-44	0.042006	0.042006	0.000000
mp-45	0.031426	0.031426	0.250000
mp-46	0.002174	0.002174	0.000000
mp-47	0.071164	-0.346969	0.000000
mp-48	0.040418	-0.209358	0.714286
mp-49	0.098685	-0.382600	0.250000
mp-50	0.044311	0.044311	1.000000
mp-51	0.066355	-0.349464	0.000000
mp-52	0.033381	0.033381	0.000000
mp-53	0.040339	0.040339	0.250000
mp-54	0.005964	0.005964	0.000000
mp-55	0.009776	-0.213125	0.000000
mp-56	0.108394	-0.374635	0.285714
O-0	0.000000	-0.416975	0.333333
O-1	0.003592	-0.339298	0.000000
O-2	0.000000	-0.419986	0.000000
O-3	0.000000	-0.247167	0.000000
O-4	0.005947	-0.331587	0.000000
O-5	0.000000	-0.437107	0.500000
O-6	0.027601	-0.285835	0.000000
O-7	0.000000	-0.351305	0.000000
O-8	0.003378	-0.358632	0.000000
O-9	0.003075	-0.412744	0.000000
O-10	0.005154	-0.362620	0.000000
O-11	0.001158	-0.414661	0.000000
O-12	0.000000	-0.386988	0.000000
O-13	0.000000	-0.415819	0.000000
O-14	0.023258	-0.363730	0.000000
O-15	0.000000	-0.485812	0.272727
O-16	0.000000	-0.460643	0.222222
O-17	0.000000	-0.481286	0.250000
a-0	0.062075	-0.251362	0.000000
a-1	0.073262	-0.346724	0.000000
a-2	0.049968	-0.365851	0.000000
a-3	0.065360	-0.248076	0.000000
a-4	0.065608	-0.321380	0.000000
a-5	0.068195	-0.318794	0.000000
a-6	0.043533	-0.372286	0.000000
a-7	0.087772	-0.349335	0.500000
a-8	0.022591	-0.372246	0.190476
a-9	0.019448	-0.417659	0.500000
gen-1-0	0.143322	-0.298908	0.166667
gen-1-1	0.047665	-0.249628	0.052632
gen-1-2	0.118104	-0.327237	0.300000
gen-1-3	0.075909	-0.303775	0.083333
gen-1-4	0.132097	-0.316293	0.266667
gen-1-5	0.105750	-0.252504	0.076923
gen-1-6	0.124582	-0.291622	0.111111
gen-1-7	0.107127	-0.261394	0.550000
gen-1-8	0.113044	-0.299764	0.125000
gen-1-9	0.103182	-0.355680	0.333333
gen-1-10	0.086773	-0.337246	0.083333
gen-1-11	0.113762	-0.343737	0.285714
gen-1-12	0.122412	-0.349656	0.250000
gen-1-13	0.123297	-0.322044	0.300000
gen-1-14	0.112180	-0.328241	0.250000
gen-1-15	0.088463	-0.339919	0.100000
gen-1-16	0.109184	-0.296581	0.090909
gen-1-17	0.123483	-0.334015	0.285714
gen-1-18	0.121152	-0.319269	0.250000
gen-1-19	0.079670	-0.305113	0.083333
gen-1-20	0.124944	-0.326154	0.363636
gen-1-21	0.186148	-0.230827	0.333333
gen-1-22	0.055795	-0.027600	0.133333
gen-1-23	0.124922	-0.334828	0.166667
gen-1-24	0.115590	-0.327850	0.142857
gen-1-25	0.116407	-0.314774	0.133333
gen-1-26	0.089914	-0.358854	0.125000
gen-1-27	0.096409	-0.272854	0.125000
gen-1-28	0.131107	-0.304760	0.363636
gen-1-29	0.110683	-0.243062	0.166667
gen-1-30	0.105303	-0.279480	0.083333
gen-1-31	0.135045	-0.339999	0.230769
gen-1-32	0.110854	-0.331915	0.166667
gen-1-33	0.121527	-0.318894	0.250000
gen-1-34	0.065851	-0.182010	0.052632
gen-1-35	0.141398	-0.275115	0.200000
gen-1-36	0.128950	-0.288025	0.333333
gen-1-37	0.170915	-0.246060	0.333333
gen-1-38	0.160271	-0.225311	0.416667
gen-1-39	0.080977	-0.221423	0.100000
gen-1-40	0.128570	-0.287942	0.200000
gen-1-41	0.120008	-0.324892	0.333333
gen-1-42	0.105940	-0.348268	0.333333
gen-1-43	0.120160	-0.343053	0.300000
gen-1-44	0.107121	-0.324053	0.105263
gen-1-45	0.148406	-0.283412	0.357143
gen-1-46	0.097402	-0.330718	0.125000
gen-1-47	0.161957	-0.264397	0.300000
gen-1-48	0.054434	0.054434	0.200000
gen-1-49	0.161912	-0.212910	0.222222
gen-1-50	0.110202	-0.330219	0.250000
gen-1-51	0.098799	-0.279776	0.100000
gen-1-52	0.125474	-0.290841	0.142857
gen-1-53	0.198171	-0.218804	0.333333
gen-1-54	0.097465	-0.335312	0.055556
gen-1-55	0.077070	-0.255599	0.111111
gen-1-56	0.138565	-0.297026	0.333333
gen-1-57	0.101463	-0.252283	0.166667
gen-1-58	0.110152	-0.243594	0.166667
gen-1-59	0.101691	-0.352798	0.200000
gen-1-60	0.091170	-0.334825	0.052632
gen-1-61	0.105018	-0.328378	0.090909
gen-1-62	0.102681	-0.361475	0.250000
