Index	e_above_hull	formation_energy	Li_fraction	Ga_fraction	Sn_fraction
mp-0	0.235330	0.235330	0.000000	0.000000	1.000000
mp-1	0.003861	-0.209206	0.250000	0.750000	0.000000
mp-2	0.223214	0.223214	0.000000	0.000000	1.000000
mp-3	0.056151	0.056151	0.000000	1.000000	0.000000
mp-4	0.017311	-0.328349	0.777778	0.000000	0.222222
mp-5	0.024648	0.013473	0.000000	0.250000	0.750000
mp-6	0.026611	0.026611	1.000000	0.000000	0.000000
mp-7	0.008767	-0.222320	0.300000	0.700000	0.000000
mp-8	0.000000	-0.211704	0.250000	0.000000	0.750000
mp-9	0.177386	0.177386	0.000000	0.000000	1.000000
mp-10	0.006142	-0.257914	0.666667	0.333333	0.000000
mp-11	0.014432	0.014432	0.000000	1.000000	0.000000
mp-12	0.060637	0.049461	0.000000	0.250000	0.750000
mp-13	0.026060	0.026060	1.000000	0.000000	0.000000
mp-14	0.021932	-0.176110	0.750000	0.250000	0.000000
mp-15	0.071350	-0.350154	0.500000	0.000000	0.500000
mp-16	0.058543	-0.259348	0.814815	0.000000	0.185185
mp-17	0.079998	0.079998	0.000000	0.000000	1.000000
mp-18	0.023230	-0.174813	0.750000	0.250000	0.000000
mp-19	0.086325	0.086325	0.000000	0.000000	1.000000
mp-20	0.000000	0.000000	0.000000	1.000000	0.000000
mp-21	0.025433	0.025433	1.000000	0.000000	0.000000
mp-22	0.102322	0.068796	0.000000	0.750000	0.250000
mp-23	0.000000	0.000000	1.000000	0.000000	0.000000
mp-24	0.001916	-0.280905	0.600000	0.400000	0.000000
mp-25	0.068943	-0.352562	0.500000	0.000000	0.500000
mp-26	0.000000	0.000000	0.000000	0.000000	1.000000
mp-27	0.055039	-0.134354	0.222222	0.777778	0.000000
mp-28	0.032373	0.032373	0.000000	1.000000	0.000000
mp-29	0.070025	0.058850	0.000000	0.250000	0.750000
mp-30	0.316703	0.316703	1.000000	0.000000	0.000000
mp-31	0.067523	-0.082877	0.176471	0.823529	0.000000
mp-32	0.002381	-0.371528	0.700000	0.000000	0.300000
mp-33	0.046065	-0.280909	0.809524	0.000000	0.190476
mp-34	0.108713	0.108713	0.000000	0.000000	1.000000
mp-35	0.215152	-0.027948	0.333333	0.666667	0.000000
mp-36	0.016163	0.016163	0.000000	1.000000	0.000000
mp-37	0.019973	0.019973	0.000000	1.000000	0.000000
mp-38	0.031519	0.031519	1.000000	0.000000	0.000000
mp-39	0.977814	0.615479	0.500000	0.250000	0.250000
mp-40	0.079261	0.079261	1.000000	0.000000	0.000000
mp-41	0.003719	-0.364901	0.722222	0.000000	0.277778
mp-42	0.000000	-0.213067	0.250000	0.750000	0.000000
mp-43	0.070295	0.070295	0.000000	0.000000	1.000000
mp-44	0.062784	0.062784	0.000000	1.000000	0.000000
mp-45	0.020723	-0.012802	0.000000	0.750000	0.250000
mp-46	0.017710	0.017710	1.000000	0.000000	0.000000
mp-47	0.006699	-0.285164	0.555556	0.444444	0.000000
mp-48	0.010390	-0.231285	0.285714	0.000000	0.714286
mp-49	0.000000	-0.362010	0.750000	0.000000	0.250000
mp-50	0.048784	0.048784	0.000000	0.000000	1.000000
mp-51	0.012696	-0.290469	0.500000	0.500000	0.000000
mp-52	0.039185	0.039185	0.000000	1.000000	0.000000
mp-53	0.027722	-0.005804	0.000000	0.750000	0.250000
mp-54	0.022997	0.022997	1.000000	0.000000	0.000000
mp-55	0.005690	-0.207377	0.250000	0.750000	0.000000
mp-56	0.007942	-0.362567	0.714286	0.000000	0.285714
O-0	0.157433	-0.131535	0.333333	0.333333	0.333333
O-1	0.142567	-0.077480	0.722222	0.277778	0.000000
O-2	0.137300	-0.145520	0.600000	0.400000	0.000000
O-3	0.153840	0.005309	0.812500	0.187500	0.000000
O-4	0.145754	-0.070292	0.727273	0.272727	0.000000
O-5	0.244281	-0.177224	0.500000	0.000000	0.500000
O-6	0.171150	-0.026892	0.750000	0.250000	0.000000
O-7	0.137668	-0.088666	0.714286	0.285714	0.000000
O-8	0.143136	-0.094515	0.700000	0.300000	0.000000
O-9	0.175234	-0.127931	0.500000	0.500000	0.000000
O-10	0.146037	-0.097707	0.692308	0.307692	0.000000
O-11	0.173318	-0.129848	0.500000	0.500000	0.000000
O-12	0.144634	-0.119422	0.666667	0.333333	0.000000
O-13	0.172159	-0.131006	0.500000	0.500000	0.000000
O-14	0.167893	-0.096164	0.666667	0.333333	0.000000
O-15	0.129303	-0.238116	0.727273	0.000000	0.272727
O-16	0.130005	-0.215654	0.777778	0.000000	0.222222
O-17	0.127202	-0.234808	0.750000	0.000000	0.250000
a-0	0.003146	-0.194896	0.750000	0.250000	0.000000
a-1	0.000000	-0.282821	0.600000	0.400000	0.000000
a-2	0.006419	-0.296746	0.500000	0.500000	0.000000
a-3	0.000224	-0.197818	0.750000	0.250000	0.000000
a-4	0.000000	-0.264056	0.666667	0.333333	0.000000
a-5	0.007181	-0.256875	0.666667	0.333333	0.000000
a-6	0.000000	-0.303165	0.500000	0.500000	0.000000
a-7	0.070064	-0.351441	0.500000	0.000000	0.500000
a-8	0.000000	-0.326974	0.809524	0.000000	0.190476
a-9	0.000000	-0.421505	0.500000	0.000000	0.500000
gen-1-0	0.061379	-0.266705	0.750000	0.083333	0.166667
gen-1-1	0.028063	-0.221171	0.315789	0.631579	0.052632
gen-1-2	0.052877	-0.321292	0.500000	0.200000	0.300000
gen-1-3	0.018862	-0.256217	0.750000	0.166667	0.083333
gen-1-4	0.081992	-0.284244	0.533333	0.200000	0.266667
gen-1-5	0.069832	-0.209956	0.384615	0.538462	0.076923
gen-1-6	0.039697	-0.269745	0.444444	0.444444	0.111111
gen-1-7	0.047979	-0.298718	0.400000	0.050000	0.550000
gen-1-8	0.030056	-0.278221	0.750000	0.125000	0.125000
gen-1-9	0.035275	-0.346675	0.583333	0.083333	0.333333
gen-1-10	0.023356	-0.299533	0.500000	0.416667	0.083333
gen-1-11	0.035420	-0.335275	0.571429	0.142857	0.285714
