# Trajectory file	Diffusivity (cm^2/s)	Error-bar diffusivity (cm^2/s)
2-157	8.024e-07	8.391e-09
1-109	1.634e-09	1.529e-10
1-142	4.100e-06	1.727e-08
1-158	3.032e-06	9.958e-09
1-181	1.667e-17	5.544e-11
1-10	3.534e-09	1.730e-10
1-149	2.133e-11	7.272e-11
2-79	8.684e-08	5.207e-10
2-113	1.667e-17	7.622e-10
2-195	2.823e-08	2.792e-10
1-1	2.449e-09	3.012e-10
2-0	3.160e-06	1.711e-08
1-15	6.660e-11	5.456e-11
2-119	1.000e-07	1.238e-09
2-169	1.170e-10	5.941e-11
1-34	5.294e-07	2.468e-09
2-162	2.178e-08	5.348e-10
2-21	1.615e-06	1.501e-08
1-3	1.508e-07	1.936e-09
2-136	1.397e-09	1.389e-10
2-9	2.390e-06	1.259e-08
1-19	1.456e-10	4.633e-11
