Index	e_above_hull	formation_energy	Sn_fraction
21	0.000000	0.000000	1.000000
21-0	0.035818	-0.379419	0.272727
21-1	0.046250	-0.292935	0.500000
21-2	0.001650	-0.405405	0.333333
21-3	0.037645	-0.320496	0.200000
21-4	0.057450	-0.351377	0.250000
21-5	0.002758	-0.404297	0.333333
21-6	0.049727	-0.365619	0.300000
21-7	0.153257	-0.262089	0.300000
21-8	0.057229	-0.281956	0.500000
21-9	0.037567	-0.369488	0.333333
21-10	0.028085	-0.351822	0.400000
21-11	0.020563	-0.352557	0.416667
21-12	0.029544	-0.354887	0.388889
21-13	0.001917	-0.405138	0.333333
21-14	0.061713	-0.277472	0.500000
21-15	0.025439	-0.342833	0.428571
21-16	0.049763	-0.359065	0.250000
21-17	0.043600	-0.346487	0.375000
21-18	0.000075	-0.408752	0.250000
21-19	0.025894	-0.358537	0.388889
21-20	0.050772	-0.301987	0.466667
21-21	0.004007	-0.411339	0.300000
21-22	0.080820	-0.054854	0.800000
21-23	0.016927	-0.398419	0.300000
21-24	0.034733	-0.200324	0.125000
21-25	0.044801	-0.326533	0.421053
21-26	0.094250	-0.244935	0.500000
21-27	0.044547	-0.370799	0.300000
21-28	0.058168	-0.310104	0.428571
21-29	0.015475	-0.154118	0.750000
21-30	0.018967	-0.207157	0.666667
21-31	0.057450	-0.351377	0.250000
21-32	0.034883	-0.304302	0.500000
21-33	0.014000	-0.155593	0.750000
21-34	0.046738	-0.362090	0.250000
21-35	0.027958	-0.379097	0.333333
21-36	0.025460	-0.245888	0.600000
21-37	0.015425	-0.154168	0.750000
21-38	0.036440	-0.167071	0.700000
21-39	0.018733	-0.207390	0.666667
21-40	0.026175	-0.313010	0.500000
21-41	0.020575	-0.318610	0.500000
21-42	0.022521	-0.396379	0.285714
21-43	0.022133	-0.291275	0.166667
21-44	0.035813	-0.337307	0.416667
21-45	0.000100	-0.339085	0.500000
21-46	0.044975	-0.334932	0.400000
21-47	0.038954	-0.334166	0.416667
21-48	0.034895	-0.066860	0.850000
21-49	0.027995	-0.330146	0.200000
21-50	0.037362	-0.335757	0.416667
21-51	0.057475	-0.351352	0.250000
21-52	0.023358	-0.315827	0.500000
21-53	0.074856	-0.188955	0.611111
21-54	0.000000	-0.387527	0.222222
21-55	0.000008	-0.407047	0.333333
21-56	0.002117	-0.404938	0.333333
