Index	e_above_hull	formation_energy	Sn_fraction
21	0.000000	0.000000	1.000000
21-0	0.035818	-0.375996	0.272727
21-1	0.046250	-0.286660	0.500000
21-2	0.001650	-0.401222	0.333333
21-3	0.037645	-0.317986	0.200000
21-4	0.057450	-0.348240	0.250000
21-5	0.002758	-0.400113	0.333333
21-6	0.049727	-0.361854	0.300000
21-7	0.153257	-0.258324	0.300000
21-8	0.057229	-0.275681	0.500000
21-9	0.037567	-0.365305	0.333333
21-10	0.028085	-0.346802	0.400000
21-11	0.020563	-0.347328	0.416667
21-12	0.029544	-0.350007	0.388889
21-13	0.001917	-0.400955	0.333333
21-14	0.061713	-0.271197	0.500000
21-15	0.025439	-0.337454	0.428571
21-16	0.049763	-0.355927	0.250000
21-17	0.043600	-0.341781	0.375000
21-18	0.000075	-0.405615	0.250000
21-19	0.025894	-0.353657	0.388889
21-20	0.050772	-0.296131	0.466667
21-21	0.004007	-0.407574	0.300000
21-22	0.088350	-0.044814	0.800000
21-23	0.016927	-0.394654	0.300000
21-24	0.034733	-0.198755	0.125000
21-25	0.044801	-0.321248	0.421053
21-26	0.094250	-0.238660	0.500000
21-27	0.044547	-0.367034	0.300000
21-28	0.058168	-0.304726	0.428571
21-29	0.021750	-0.144705	0.750000
21-30	0.023150	-0.198790	0.666667
21-31	0.057450	-0.348240	0.250000
21-32	0.034883	-0.298027	0.500000
21-33	0.020275	-0.146180	0.750000
21-34	0.046738	-0.358952	0.250000
21-35	0.027958	-0.374913	0.333333
21-36	0.027970	-0.238358	0.600000
21-37	0.021700	-0.144755	0.750000
21-38	0.041460	-0.158286	0.700000
21-39	0.022917	-0.199023	0.666667
21-40	0.026175	-0.306735	0.500000
21-41	0.020575	-0.312335	0.500000
21-42	0.022521	-0.392793	0.285714
21-43	0.022133	-0.289183	0.166667
21-44	0.035813	-0.332078	0.416667
21-45	0.000100	-0.332810	0.500000
21-46	0.044975	-0.329912	0.400000
21-47	0.038954	-0.328937	0.416667
21-48	0.043680	-0.056193	0.850000
21-49	0.027995	-0.327636	0.200000
21-50	0.037362	-0.330528	0.416667
21-51	0.057475	-0.348215	0.250000
21-52	0.023358	-0.309552	0.500000
21-53	0.077644	-0.181286	0.611111
21-54	0.000000	-0.384738	0.222222
21-55	0.000008	-0.402863	0.333333
21-56	0.002117	-0.400755	0.333333
21-57	0.055535	-0.277375	0.500000
21-58	0.048333	-0.354538	0.333333
21-59	0.021700	-0.144755	0.750000
21-60	0.000183	-0.311133	0.166667
21-61	0.060243	-0.291747	0.454545
21-62	0.027971	-0.339920	0.416667
21-63	0.038730	-0.227598	0.600000
21-64	0.025050	-0.307860	0.500000
21-65	0.161436	-0.241436	0.333333
21-66	0.000075	-0.332835	0.500000
21-67	0.039856	-0.256064	0.555556
21-68	0.049775	-0.355915	0.250000
21-69	0.027617	-0.375255	0.333333
21-70	0.014467	-0.296850	0.166667
21-71	0.060279	-0.307612	0.416667
21-72	0.000025	-0.332885	0.500000
21-73	0.078304	-0.289587	0.416667
21-74	0.058900	-0.274010	0.500000
21-75	0.030567	-0.135888	0.750000
21-76	0.090325	-0.312547	0.333333
21-77	0.088492	-0.317198	0.250000
21-78	0.077922	-0.335253	0.277778
21-79	0.046488	-0.359202	0.250000
21-80	0.057450	-0.348240	0.250000
21-81	0.038275	-0.294635	0.500000
21-82	0.043887	-0.324003	0.416667
21-83	0.000000	-0.405690	0.250000
21-84	0.000250	-0.405440	0.250000
21-85	0.034733	-0.198755	0.125000
21-86	0.058814	-0.344058	0.333333
21-87	0.000225	-0.405465	0.250000
21-88	0.027750	-0.194190	0.666667
21-89	0.000762	-0.404927	0.250000
21-90	0.199060	-0.133850	0.500000
21-91	0.025587	-0.224095	0.625000
21-92	0.027642	-0.375230	0.333333
21-93	0.100450	-0.232460	0.500000
21-94	0.000225	-0.402647	0.333333
21-95	0.055746	-0.312145	0.416667
21-96	0.069472	-0.342109	0.300000
21-97	0.030369	-0.355012	0.375000
21-98	0.031313	-0.354069	0.375000
21-99	0.054758	-0.299141	0.450000
21-100	0.069067	-0.226853	0.555556
21-101	0.023330	-0.242998	0.600000
21-102	0.024467	-0.197473	0.666667
21-103	0.069879	-0.322999	0.357143
21-104	0.023705	-0.351182	0.400000
21-105	0.050435	-0.305196	0.200000
21-106	0.086870	-0.246040	0.500000
21-107	0.070200	-0.196128	0.600000
21-108	0.033465	-0.341422	0.400000
21-109	0.049850	-0.355840	0.250000
21-110	0.002875	-0.399997	0.333333
21-111	0.048358	-0.354513	0.333333
21-112	0.069005	-0.305882	0.400000
21-113	0.000062	-0.332848	0.500000
21-114	0.000587	-0.332323	0.500000
21-115	0.030787	-0.218895	0.625000
21-116	0.000825	-0.332085	0.500000
21-117	0.027467	-0.375405	0.333333
21-118	0.000215	-0.355416	0.200000
21-119	0.030683	-0.246742	0.583333
21-120	0.022757	-0.388824	0.300000
21-121	0.000415	-0.355216	0.200000
21-122	0.001387	-0.331523	0.500000
21-123	0.052470	-0.278989	0.181818
21-124	0.027800	-0.375072	0.333333
21-125	0.062320	-0.312567	0.400000
21-126	0.078400	-0.143540	0.666667
21-127	0.027617	-0.375255	0.333333
21-128	0.025396	-0.337497	0.428571
21-129	0.038025	-0.128430	0.750000
21-130	0.021675	-0.353212	0.400000
21-131	0.033437	-0.334453	0.416667
21-132	0.021175	-0.145280	0.750000
21-133	0.062173	-0.240473	0.545455
21-134	0.046297	-0.312849	0.437500
21-135	0.033078	-0.351660	0.222222
21-136	0.009842	-0.393030	0.333333
21-137	0.000275	-0.355356	0.200000
21-138	0.021200	-0.145255	0.750000
21-139	0.045105	-0.329782	0.400000
21-140	0.001742	-0.401130	0.333333
21-141	0.016857	-0.394724	0.300000
21-142	0.009925	-0.392947	0.333333
21-143	0.000250	-0.405440	0.250000
21-144	0.023017	-0.198923	0.666667
21-145	0.031880	-0.234448	0.600000
21-146	0.026809	-0.385005	0.272727
21-147	0.057475	-0.348215	0.250000
21-148	0.035325	-0.131130	0.750000
21-149	0.045043	-0.240309	0.571429
21-150	0.000235	-0.355396	0.200000
21-151	0.074702	-0.333614	0.312500
21-152	0.054325	-0.278585	0.500000
21-153	0.044342	-0.066628	0.833333
21-154	0.101017	-0.009953	0.833333
21-155	0.032357	-0.360520	0.357143
21-156	0.060655	-0.314232	0.400000
21-157	0.036706	-0.342846	0.388889
21-158	0.008689	-0.322771	0.181818
21-159	0.039944	-0.255976	0.555556
21-160	0.020567	-0.312343	0.500000
21-161	0.026538	-0.181007	0.111111
21-162	0.037175	-0.365697	0.333333
21-163	0.007217	-0.304100	0.166667
21-164	0.049775	-0.355915	0.250000
21-165	0.040867	-0.181073	0.666667
21-166	0.046838	-0.321053	0.416667
21-167	0.000467	-0.402405	0.333333
21-168	0.034733	-0.198755	0.125000
21-169	0.000000	-0.405690	0.250000
21-170	0.037606	-0.347775	0.375000
21-171	0.028104	-0.339787	0.416667
21-172	0.021200	-0.145255	0.750000
21-173	0.021175	-0.145280	0.750000
21-174	0.000000	-0.405690	0.250000
21-175	0.026582	-0.180962	0.111111
21-176	0.014034	-0.345111	0.437500
21-177	0.038710	-0.227618	0.600000
21-178	0.025575	-0.349312	0.400000
21-179	0.073475	-0.259435	0.500000
21-180	0.000050	-0.332860	0.500000
21-181	0.026482	-0.181062	0.111111
21-182	0.021175	-0.145280	0.750000
21-183	0.006500	-0.396372	0.333333
21-184	0.034733	-0.198755	0.125000
21-185	0.049788	-0.355902	0.250000
21-186	0.032945	-0.148642	0.727273
21-187	0.049788	-0.355902	0.250000
21-188	0.000425	-0.405265	0.250000
21-189	0.027900	-0.374972	0.333333
21-190	0.069000	-0.226920	0.555556
21-191	0.024414	-0.260937	0.571429
21-192	0.026050	-0.306860	0.500000
21-193	0.028328	-0.330817	0.437500
21-194	0.026896	-0.340995	0.416667
21-195	0.035275	-0.131180	0.750000
21-196	0.038730	-0.227598	0.600000
21-197	0.000915	-0.354716	0.200000
21-198	0.045870	-0.287040	0.500000
21-199	0.049775	-0.355915	0.250000
06-0	0.055746	-0.251555	0.538462
06-1	0.000200	-0.405490	0.250000
06-2	0.040873	-0.225455	0.600000
06-3	0.005075	-0.397797	0.333333
06-4	0.033683	-0.188257	0.666667
06-5	0.049750	-0.355940	0.250000
06-6	0.020835	-0.354052	0.400000
06-7	0.088061	-0.291490	0.388889
06-8	0.049813	-0.355877	0.250000
06-9	0.057350	-0.345522	0.333333
06-10	0.008607	-0.322853	0.181818
06-11	0.001875	-0.400997	0.333333
06-12	0.000395	-0.355236	0.200000
06-13	0.037175	-0.319056	0.444444
06-14	0.000050	-0.332860	0.500000
06-15	0.000175	-0.355456	0.200000
06-16	0.000000	-0.405690	0.250000
06-17	0.067322	-0.271691	0.187500
06-18	0.047101	-0.318948	0.421053
06-19	0.037064	-0.319167	0.444444
06-20	0.000050	-0.332860	0.500000
06-21	0.000000	-0.405690	0.250000
06-22	0.058783	-0.252533	0.166667
06-23	0.000025	-0.332885	0.500000
06-24	0.000025	-0.332885	0.500000
06-25	0.022725	-0.199215	0.666667
06-26	0.016200	-0.295117	0.166667
06-27	0.061025	-0.290965	0.454545
06-28	0.000025	-0.332885	0.500000
