Index	e_above_hull	Sn_fraction
mp-0	0.009650	0.714286
mp-1	0.000006	0.250000
mp-2	0.009389	0.000000
mp-3	0.042597	0.000000
mp-4	0.013124	1.000000
mp-5	0.000000	0.285714
mp-6	0.000468	0.000000
mp-7	0.052900	1.000000
mp-8	0.052200	1.000000
mp-9	0.013125	0.750000
mp-10	0.015672	0.222222
mp-11	0.008556	0.000000
mp-12	0.008883	0.500000
mp-13	0.048500	1.000000
mp-14	0.006840	0.185185
mp-15	0.008056	0.000000
mp-16	0.049500	1.000000
mp-17	0.049187	1.000000
mp-18	0.015175	0.500000
mp-19	0.008181	0.000000
mp-20	0.007467	0.300000
mp-21	0.000000	1.000000
mp-22	0.000168	0.190476
mp-23	0.000556	0.000000
mp-24	0.038350	1.000000
mp-25	0.008322	0.000000
mp-26	0.000102	0.277778
mp-27	0.246506	0.000000
mp-28	0.058400	1.000000
O-0	0.000000	0.272727
O-1	0.000006	0.250000
O-2	0.201383	0.833333
O-3	0.061417	0.500000
O-4	0.059147	0.400000
O-5	0.056650	0.500000
O-6	0.019073	0.400000
O-7	0.000000	0.666667
O-8	0.000050	0.500000
O-9	0.060956	0.750000
O-10	0.007427	0.300000
O-11	0.009836	0.714286
O-12	0.016047	0.333333
O-13	0.011625	0.750000
O-14	0.017150	0.125000
O-15	0.056667	0.888889
O-16	0.013138	0.750000
O-17	0.008850	0.500000
O-18	0.009800	0.500000
O-19	0.075275	0.833333
O-20	1.007525	0.666667
O-21	0.001880	0.200000
O-22	0.011600	0.750000
O-23	0.212614	0.333333
O-24	0.011113	0.750000
O-25	0.000180	0.277778
O-26	0.292650	0.500000
O-27	0.015897	0.333333
O-28	0.007860	0.600000
O-29	0.166703	0.562500
O-30	0.269479	0.111111
O-31	0.000050	0.500000
O-32	0.000105	0.285714
O-33	0.011625	0.750000
O-34	0.015079	0.500000
O-35	0.886697	0.333333
O-36	0.008057	0.166667
O-37	0.055658	0.214286
O-38	1.348379	0.190476
O-39	0.195075	0.666667
O-40	0.060631	0.250000
O-41	0.047749	0.307692
O-42	0.782150	0.500000
O-43	0.000000	0.222222
O-44	0.257431	0.250000
O-45	0.000006	0.272727
O-46	0.000050	0.500000
O-47	0.000000	0.250000
O-48	0.015689	0.222222
O-49	0.068606	0.250000
O-50	0.000000	0.250000
O-51	0.050722	0.333333
O-52	0.398029	0.375000
a-0	0.019000	0.500000
a-1	0.056125	0.750000
a-2	0.081422	0.333333
a-3	0.000000	0.190476
a-4	0.000256	0.250000
a-5	0.164500	0.833333
a-6	0.069151	0.333333
a-7	0.056650	0.500000
a-8	0.038307	0.125000
a-9	0.028217	0.666667
a-10	0.012372	0.333333
a-11	0.000000	0.500000
a-12	0.061200	0.500000
a-13	0.038722	0.333333
a-14	0.015067	0.500000
a-15	0.012289	0.333333
a-16	0.084500	0.600000
a-17	0.038722	0.333333
a-18	0.010056	0.333333
a-19	0.079667	0.666667
a-20	0.115481	0.250000
a-21	0.092200	0.500000
a-22	0.143356	0.333333
a-23	0.070925	0.500000
a-24	0.010089	0.333333
a-25	0.108789	0.333333
a-26	0.053350	0.833333
a-27	0.012729	0.750000
a-28	0.007422	0.300000
a-29	0.042750	0.666667
a-30	0.091700	0.500000
a-31	0.011625	0.750000
a-32	0.060975	0.750000
a-33	0.297222	0.333333
a-34	0.008224	0.166667
a-35	0.186256	0.333333
a-36	0.008833	0.500000
a-37	0.001600	0.500000
a-38	0.038033	0.666667
a-39	0.027972	0.333333
a-40	0.136806	0.250000
a-41	0.025858	0.666667
a-42	0.043450	0.750000
a-43	0.009275	0.500000
a-44	0.000056	0.250000
a-45	0.038722	0.333333
a-46	0.071750	0.750000
a-47	0.068606	0.250000
a-48	0.114722	0.333333
a-49	0.029800	0.666667
a-50	0.186873	0.200000
a-51	0.080856	0.555556
a-52	0.021950	0.666667
a-53	0.115006	0.250000
a-54	0.228553	0.200000
a-55	0.013489	0.333333
a-56	0.050706	0.333333
a-57	0.113131	0.250000
