Index	e_above_hull	formation_energy	Sn_fraction
mp-0	0.009721	-0.183577	0.714286
mp-1	0.000006	-0.395383	0.250000
mp-2	0.009389	0.009389	0.000000
mp-3	0.042597	0.042597	0.000000
mp-4	0.013224	0.013224	1.000000
mp-5	0.000000	-0.396103	0.285714
mp-6	0.000468	0.000468	0.000000
mp-7	0.053000	0.053000	1.000000
mp-8	0.052300	0.052300	1.000000
mp-9	0.013200	-0.155936	0.750000
mp-10	0.015672	-0.362862	0.222222
mp-11	0.008556	0.008556	0.000000
mp-12	0.008883	-0.322339	0.500000
mp-13	0.048600	0.048600	1.000000
mp-14	0.006839	-0.321671	0.185185
mp-15	0.008056	0.008056	0.000000
mp-16	0.049600	0.049600	1.000000
mp-17	0.049288	0.049288	1.000000
mp-18	0.015175	-0.316047	0.500000
mp-19	0.008181	0.008181	0.000000
mp-20	0.007467	-0.384311	0.300000
mp-21	0.000100	0.000100	1.000000
mp-22	0.000166	-0.337730	0.190476
mp-23	0.000556	0.000556	0.000000
mp-24	0.038450	0.038450	1.000000
mp-25	0.008322	0.008322	0.000000
mp-26	0.000102	-0.396438	0.277778
mp-27	0.246506	0.246506	0.000000
mp-28	0.058500	0.058500	1.000000
O-0	0.000000	-0.396817	0.272727
O-1	0.000006	-0.395383	0.250000
O-2	0.201467	0.088709	0.833333
O-3	0.061417	-0.269806	0.500000
O-4	0.059147	-0.302353	0.400000
O-5	0.056650	-0.274572	0.500000
O-6	0.019073	-0.342427	0.400000
O-7	0.000067	-0.225448	0.666667
O-8	0.000050	-0.331172	0.500000
O-9	0.061031	-0.108105	0.750000
O-10	0.007427	-0.384351	0.300000
O-11	0.009907	-0.183391	0.714286
O-12	0.016047	-0.365638	0.333333
O-13	0.011700	-0.157436	0.750000
O-14	0.017149	-0.204595	0.125000
O-15	0.056756	-0.018416	0.888889
O-16	0.013213	-0.155924	0.750000
O-17	0.008850	-0.322372	0.500000
O-18	0.009800	-0.321422	0.500000
O-19	0.075183	-0.037574	0.833333
O-20	1.007592	0.782077	0.666667
O-21	0.001879	-0.348209	0.200000
O-22	0.011675	-0.157461	0.750000
O-23	0.212614	-0.169071	0.333333
O-24	0.011188	-0.157949	0.750000
O-25	0.000180	-0.396360	0.277778
O-26	0.292650	-0.038572	0.500000
O-27	0.015897	-0.365788	0.333333
O-28	0.007900	-0.259898	0.600000
O-29	0.166728	-0.124854	0.562500
O-30	0.269478	0.072372	0.111111
O-31	0.000050	-0.331172	0.500000
O-32	0.000105	-0.395998	0.285714
O-33	0.011700	-0.157436	0.750000
O-34	0.015079	-0.316143	0.500000
O-35	0.886701	0.505016	0.333333
O-36	0.008055	-0.287604	0.166667
O-37	0.055658	-0.312717	0.214286
O-38	1.348377	1.010481	0.190476
O-39	0.195142	-0.030373	0.666667
O-40	0.060631	-0.334758	0.250000
O-41	0.047749	-0.341700	0.307692
O-42	0.782150	0.450928	0.500000
O-43	0.000000	-0.378535	0.222222
O-44	0.257431	-0.137958	0.250000
O-45	0.000006	-0.396811	0.272727
O-46	0.000050	-0.331172	0.500000
O-47	0.000000	-0.395390	0.250000
O-48	0.015689	-0.362846	0.222222
O-49	0.068606	-0.326783	0.250000
O-50	0.000006	-0.395383	0.250000
O-51	0.050722	-0.330963	0.333333
O-52	0.398029	0.028960	0.375000
a-0	0.019000	-0.312222	0.500000
a-1	0.056200	-0.112936	0.750000
a-2	0.081422	-0.300263	0.333333
a-3	0.000000	-0.337896	0.190476
a-4	0.000256	-0.395133	0.250000
a-5	0.164583	0.051826	0.833333
a-6	0.069151	-0.312534	0.333333
a-7	0.056650	-0.274572	0.500000
a-8	0.038305	-0.183439	0.125000
a-9	0.028283	-0.197231	0.666667
a-10	0.012372	-0.369313	0.333333
a-11	0.000000	-0.331222	0.500000
a-12	0.061200	-0.270022	0.500000
a-13	0.038722	-0.342963	0.333333
a-14	0.015067	-0.316156	0.500000
a-15	0.012289	-0.369396	0.333333
a-16	0.084540	-0.183258	0.600000
a-17	0.038722	-0.342963	0.333333
a-18	0.010056	-0.371630	0.333333
a-19	0.079733	-0.145781	0.666667
a-20	0.115481	-0.279908	0.250000
a-21	0.092200	-0.239022	0.500000
a-22	0.143356	-0.238330	0.333333
a-23	0.070925	-0.260297	0.500000
a-24	0.010089	-0.371596	0.333333
a-25	0.108789	-0.272896	0.333333
a-26	0.053433	-0.059324	0.833333
a-27	0.012804	-0.156332	0.750000
a-28	0.007422	-0.384356	0.300000
a-29	0.042817	-0.182698	0.666667
a-30	0.091700	-0.239522	0.500000
a-31	0.011700	-0.157436	0.750000
a-32	0.061050	-0.108086	0.750000
a-33	0.297222	-0.084463	0.333333
a-34	0.008222	-0.287437	0.166667
a-35	0.186256	-0.195430	0.333333
a-36	0.008833	-0.322389	0.500000
a-37	0.001600	-0.329622	0.500000
a-38	0.038100	-0.187415	0.666667
a-39	0.027972	-0.353713	0.333333
a-40	0.136806	-0.258583	0.250000
a-41	0.025925	-0.199590	0.666667
a-42	0.043525	-0.125611	0.750000
a-43	0.009275	-0.321947	0.500000
a-44	0.000056	-0.395333	0.250000
a-45	0.038722	-0.342963	0.333333
a-46	0.071850	-0.097286	0.750000
a-47	0.068606	-0.326783	0.250000
a-48	0.114722	-0.266963	0.333333
a-49	0.029867	-0.195648	0.666667
a-50	0.186872	-0.163216	0.200000
a-51	0.080878	-0.215109	0.555556
a-52	0.022008	-0.203506	0.666667
a-53	0.115006	-0.280383	0.250000
a-54	0.228552	-0.121536	0.200000
a-55	0.013489	-0.368196	0.333333
a-56	0.050706	-0.330980	0.333333
a-57	0.113131	-0.282258	0.250000
a-58	0.000096	-0.396443	0.277778
a-59	0.024000	-0.201515	0.666667
a-60	0.058467	-0.167048	0.666667
a-61	0.054733	-0.170781	0.666667
a-62	0.038756	-0.342930	0.333333
a-63	0.013625	-0.155511	0.750000
a-64	0.163192	-0.168031	0.500000
a-65	0.000181	-0.395208	0.250000
a-66	0.212606	-0.169080	0.333333
a-67	0.093887	-0.301502	0.250000
a-68	0.024717	-0.200798	0.666667
a-69	0.061450	-0.269772	0.500000
a-70	0.186212	-0.163876	0.200000
a-71	0.090550	-0.078586	0.750000
a-72	0.068606	-0.326783	0.250000
a-73	0.023820	-0.111489	0.800000
a-74	0.261456	-0.133933	0.250000
a-75	0.060067	-0.165448	0.666667
a-76	0.010975	-0.158161	0.750000
a-77	0.038067	-0.187448	0.666667
a-78	0.048850	-0.282372	0.500000
a-79	0.044650	-0.124486	0.750000
a-80	0.000029	-0.396075	0.285714
a-81	0.038722	-0.342963	0.333333
a-82	0.007452	-0.384326	0.300000
a-83	0.009700	-0.321522	0.500000
a-84	0.056350	-0.112786	0.750000
a-85	0.136856	-0.258533	0.250000
a-86	0.015192	-0.316031	0.500000
a-87	0.144600	-0.186622	0.500000
a-88	0.241825	-0.089397	0.500000
a-89	0.000256	-0.395133	0.250000
a-90	0.091750	-0.239472	0.500000
a-91	0.038722	-0.342963	0.333333
a-92	0.064556	-0.317130	0.333333
a-93	0.063275	-0.105861	0.750000
a-94	0.067033	-0.158481	0.666667
a-95	0.009750	-0.321472	0.500000
a-96	0.257781	-0.137608	0.250000
a-97	0.042717	-0.182798	0.666667
a-98	0.103533	-0.121981	0.666667
a-99	0.009971	-0.183327	0.714286
a-100	0.064817	-0.160698	0.666667
a-101	0.232755	-0.062904	0.166667
a-102	0.045450	-0.123686	0.750000
a-103	0.025867	-0.199648	0.666667
a-104	0.000033	-0.337863	0.190476
a-105	0.051817	-0.060941	0.833333
a-106	0.162950	-0.168272	0.500000
a-107	0.000156	-0.395233	0.250000
a-108	0.020663	-0.310560	0.500000
a-109	0.013575	-0.155561	0.750000
a-110	0.000107	-0.396432	0.277778
a-111	0.198489	-0.183196	0.333333
a-112	0.108756	-0.272930	0.333333
a-113	0.000014	-0.396089	0.285714
a-114	0.130744	-0.212124	0.461538
a-115	0.068606	-0.326783	0.250000
a-116	0.201483	0.088726	0.833333
a-117	0.011675	-0.157461	0.750000
a-118	0.012389	-0.369296	0.333333
a-119	0.015678	-0.362857	0.222222
a-120	0.007675	-0.323547	0.500000
a-121	0.012389	-0.369296	0.333333
a-122	0.055033	-0.170481	0.666667
a-123	0.212975	-0.118247	0.500000
a-124	0.141550	-0.189672	0.500000
a-125	0.089300	-0.079836	0.750000
a-126	0.015800	-0.362735	0.222222
a-127	0.145025	-0.186197	0.500000
a-128	0.010093	-0.183206	0.714286
a-129	0.129039	-0.166620	0.166667
a-130	0.000031	-0.395358	0.250000
a-131	0.098075	-0.233147	0.500000
a-132	0.076974	-0.271069	0.444444
a-133	0.052150	-0.116986	0.750000
a-134	0.018905	-0.276754	0.166667
a-135	0.030700	-0.194815	0.666667
a-136	0.068606	-0.326783	0.250000
a-137	0.136781	-0.258608	0.250000
a-138	0.025533	-0.199981	0.666667
a-139	0.011463	-0.157674	0.750000
a-140	0.024033	-0.201481	0.666667
a-141	0.019750	-0.311472	0.500000
a-142	0.057417	-0.273806	0.500000
a-143	0.030933	-0.194581	0.666667
a-144	0.050933	-0.061824	0.833333
a-145	0.181740	0.046431	0.800000
a-146	0.091750	-0.239472	0.500000
a-147	0.053233	-0.277989	0.500000
a-148	0.037300	-0.159806	0.111111
a-149	0.240225	-0.090997	0.500000
a-150	0.006783	-0.321727	0.185185
a-151	0.056300	-0.112836	0.750000
a-152	0.104133	-0.121381	0.666667
a-153	0.037600	-0.293622	0.500000
a-154	0.095650	-0.073486	0.750000
a-155	0.061991	-0.295333	0.413793
a-156	0.013225	-0.155911	0.750000
gen-1-0	0.017606	-0.364080	0.333333
gen-1-1	0.029333	-0.301889	0.500000
gen-1-2	0.017332	-0.374446	0.300000
gen-1-3	0.046547	-0.303541	0.200000
gen-1-4	0.023585	-0.324458	0.444444
gen-1-5	0.020973	-0.340527	0.400000
gen-1-6	0.009900	-0.321322	0.500000
gen-1-7	0.021311	-0.360374	0.333333
gen-1-8	0.024981	-0.356705	0.333333
gen-1-9	0.016533	-0.362001	0.222222
gen-1-10	0.016333	-0.365352	0.333333
gen-1-11	0.025619	-0.330834	0.416667
gen-1-12	0.023575	-0.212511	0.650000
gen-1-13	0.033139	-0.348546	0.333333
gen-1-14	0.030236	-0.342274	0.363636
gen-1-15	0.028968	-0.192776	0.125000
gen-1-16	0.000050	-0.331172	0.500000
gen-1-17	0.026425	-0.265157	0.562500
gen-1-18	0.034238	-0.217704	0.625000
gen-1-19	0.034650	-0.201436	0.650000
gen-1-20	0.009275	-0.321947	0.500000
gen-1-21	0.035725	-0.314362	0.200000
gen-1-22	0.019389	-0.276598	0.555556
gen-1-23	0.018697	-0.373081	0.300000
gen-1-24	0.037373	-0.324127	0.400000
gen-1-25	0.027455	-0.347021	0.357143
gen-1-26	0.035205	-0.186539	0.125000
gen-1-27	0.021957	-0.263962	0.571429
gen-1-28	0.023033	-0.202481	0.666667
gen-1-29	0.017805	-0.203939	0.125000
gen-1-30	0.012313	-0.375681	0.312500
gen-1-31	0.008205	-0.287454	0.166667
gen-1-32	0.016723	-0.378667	0.250000
gen-1-33	0.044069	-0.207873	0.625000
gen-1-34	0.000030	-0.331192	0.500000
gen-1-35	0.031617	-0.193898	0.666667
gen-1-36	0.018988	-0.312235	0.500000
gen-1-37	0.030038	-0.301185	0.500000
gen-1-38	0.015113	-0.346387	0.400000
gen-1-39	0.044792	-0.346986	0.300000
gen-1-40	0.019087	-0.372691	0.300000
gen-1-41	0.027083	-0.142053	0.750000
gen-1-42	0.026556	-0.269431	0.555556
gen-1-43	0.017337	-0.204408	0.125000
gen-1-44	0.013769	-0.334275	0.444444
gen-1-45	0.013978	-0.183128	0.111111
gen-1-46	0.018944	-0.362741	0.333333
gen-1-47	0.001544	-0.393846	0.250000
gen-1-48	0.000000	-0.225515	0.666667
gen-1-49	0.034933	-0.190581	0.666667
gen-1-50	0.024228	-0.201287	0.666667
gen-1-51	0.021075	-0.257294	0.583333
gen-1-52	0.034388	-0.296835	0.500000
gen-1-53	0.043350	-0.352753	0.285714
gen-1-54	0.024740	-0.243058	0.600000
gen-1-55	0.023248	-0.338252	0.400000
gen-1-56	0.001036	-0.395067	0.285714
gen-1-57	0.010136	-0.371550	0.333333
gen-1-58	0.025675	-0.265907	0.562500
gen-1-59	0.016673	-0.344827	0.400000
gen-1-60	0.015744	-0.365941	0.333333
gen-1-61	0.013467	-0.317756	0.500000
gen-1-62	0.031512	-0.360266	0.300000
gen-1-63	0.034193	-0.327307	0.400000
gen-1-64	0.032081	-0.332783	0.388889
gen-1-65	0.033054	-0.336015	0.375000
gen-1-66	0.023330	-0.244468	0.600000
gen-1-67	0.021240	-0.246558	0.600000
gen-1-68	0.019913	-0.311310	0.500000
gen-1-69	0.014755	-0.221772	0.133333
gen-1-70	0.051212	-0.298876	0.200000
gen-1-71	0.037606	-0.357783	0.250000
gen-1-72	0.033650	-0.218292	0.625000
gen-1-73	0.037322	-0.159784	0.111111
gen-1-74	0.014012	-0.239410	0.142857
gen-1-75	0.016147	-0.279512	0.166667
gen-1-76	0.017273	-0.378117	0.250000
gen-1-77	0.000000	0.000000	0.000000
gen-1-78	0.001850	-0.329372	0.500000
gen-1-79	0.040092	-0.238277	0.583333
gen-1-80	0.027614	-0.258305	0.571429
gen-1-81	0.030886	-0.325568	0.416667
gen-1-82	0.001752	-0.348336	0.200000
gen-1-83	0.023967	-0.201548	0.666667
gen-1-84	0.013213	-0.155924	0.750000
gen-1-85	0.019713	-0.311510	0.500000
gen-1-86	0.029985	-0.320102	0.200000
gen-1-87	0.030077	-0.320069	0.437500
gen-1-88	0.031820	-0.193695	0.666667
gen-1-89	0.032206	-0.193309	0.666667
gen-1-90	0.030597	-0.265062	0.166667
gen-1-91	0.011463	-0.157674	0.750000
gen-1-92	0.028282	-0.321806	0.200000
gen-1-93	0.000025	-0.331197	0.500000
gen-1-94	0.018067	-0.334783	0.428571
gen-1-95	0.016922	-0.364763	0.333333
gen-1-96	0.016613	-0.344887	0.400000
gen-1-97	0.040297	-0.351481	0.300000
gen-1-98	0.031875	-0.246494	0.583333
gen-1-99	0.035800	-0.216142	0.625000
gen-1-100	0.018837	-0.372941	0.300000
gen-1-101	0.020547	-0.361138	0.333333
gen-1-102	0.033340	-0.192175	0.666667
gen-1-103	0.017595	-0.313627	0.500000
gen-1-104	0.016225	-0.314997	0.500000
gen-1-105	0.014656	-0.367030	0.333333
gen-1-106	0.007922	0.007922	0.000000
gen-1-107	0.010000	-0.321222	0.500000
gen-1-108	0.000017	-0.331206	0.500000
gen-1-109	0.026661	-0.355024	0.333333
gen-1-110	0.039769	-0.334707	0.357143
gen-1-111	0.013030	-0.282629	0.166667
gen-1-112	0.029133	-0.332367	0.400000
gen-1-113	0.022438	-0.339062	0.400000
gen-1-114	0.046781	-0.348608	0.250000
gen-1-115	0.034983	-0.190531	0.666667
gen-1-116	0.030631	-0.334233	0.388889
gen-1-117	0.021308	-0.204206	0.666667
gen-1-118	0.033333	-0.348352	0.333333
gen-1-119	0.010022	-0.371663	0.333333
gen-1-120	0.008817	-0.322406	0.500000
gen-1-121	0.032304	-0.332560	0.388889
gen-1-122	0.020410	-0.182553	0.700000
gen-1-123	0.010089	-0.371596	0.333333
gen-1-124	0.050663	-0.280560	0.500000
gen-1-125	0.000156	-0.395233	0.250000
gen-1-126	0.020444	-0.275542	0.555556
gen-1-127	0.012264	-0.369421	0.333333
gen-1-128	0.029578	-0.326876	0.416667
gen-1-129	0.008331	0.008331	0.000000
gen-1-130	0.026364	-0.346146	0.363636
gen-1-131	0.019133	-0.342367	0.400000
gen-1-132	0.033178	-0.348507	0.333333
gen-1-133	0.028417	-0.197098	0.666667
gen-1-134	0.016310	-0.314912	0.500000
gen-1-135	0.045746	-0.276791	0.181818
gen-1-136	0.018078	-0.363607	0.333333
gen-1-137	0.032469	-0.204059	0.133333
gen-1-138	0.026806	-0.354880	0.333333
gen-1-139	0.013880	-0.317342	0.500000
gen-1-140	0.020500	-0.279010	0.550000
gen-1-141	0.024089	-0.271570	0.166667
gen-1-142	0.000011	-0.378523	0.222222
gen-1-143	0.029824	-0.302792	0.187500
gen-1-144	0.024304	-0.344765	0.375000
gen-1-145	0.038989	-0.342696	0.333333
gen-1-146	0.018963	-0.342537	0.400000
gen-1-147	0.033675	-0.234123	0.600000
gen-1-148	0.010539	-0.371146	0.333333
gen-1-149	0.035514	-0.360589	0.285714
gen-1-150	0.014528	-0.281131	0.166667
gen-1-151	0.020233	-0.341267	0.400000
gen-1-152	0.014572	-0.316650	0.500000
gen-1-153	0.038400	-0.187115	0.666667
gen-1-154	0.022273	-0.339227	0.400000
gen-1-155	0.000056	-0.331167	0.500000
gen-1-156	0.006417	-0.385361	0.300000
gen-1-157	0.037633	-0.344052	0.333333
gen-1-158	0.022600	-0.365393	0.312500
gen-1-159	0.019025	-0.312197	0.500000
gen-1-160	0.017470	-0.313752	0.500000
gen-1-161	0.010102	-0.371583	0.333333
gen-1-162	0.005047	-0.290612	0.166667
gen-1-163	0.019958	-0.311264	0.500000
gen-1-164	0.012297	-0.369388	0.333333
gen-1-165	0.011081	-0.158055	0.750000
gen-1-166	0.023517	-0.201998	0.666667
gen-1-167	0.011700	-0.157436	0.750000
gen-1-168	0.036494	-0.215448	0.625000
gen-1-169	0.026222	-0.269437	0.166667
gen-1-170	0.030678	-0.325776	0.416667
gen-1-171	0.017004	-0.352065	0.375000
gen-1-172	0.012142	-0.337946	0.200000
gen-1-173	0.000350	-0.378185	0.222222
gen-1-174	0.015852	-0.336997	0.428571
gen-1-175	0.000000	-0.225515	0.666667
gen-1-176	0.014921	-0.316301	0.500000
gen-1-177	0.026256	-0.355430	0.333333
gen-1-178	0.010156	-0.371530	0.333333
gen-1-179	0.037853	-0.323647	0.400000
gen-1-180	0.009092	-0.322131	0.500000
gen-1-181	0.005606	-0.372929	0.222222
gen-1-182	0.002175	-0.329047	0.500000
gen-1-183	0.015422	-0.366263	0.333333
gen-1-184	0.000023	-0.395367	0.250000
gen-1-185	0.022423	-0.339077	0.400000
gen-1-186	0.010078	-0.371607	0.333333
gen-1-187	0.023061	-0.333393	0.416667
gen-1-188	0.016206	-0.365480	0.333333
gen-1-189	0.026880	-0.240918	0.600000
gen-1-190	0.037102	-0.312986	0.200000
gen-1-191	0.017397	-0.374381	0.300000
gen-1-192	0.026960	-0.342109	0.375000
gen-1-193	0.018839	-0.276820	0.166667
gen-1-194	0.017822	-0.363863	0.333333
gen-1-195	0.025525	-0.199990	0.666667
gen-1-196	0.010039	-0.371646	0.333333
gen-1-197	0.006377	-0.385401	0.300000
gen-1-198	0.016300	-0.286093	0.545455
gen-1-199	0.036069	-0.359321	0.250000
gen-2-0	0.034708	-0.315438	0.437500
gen-2-1	0.048750	0.048750	1.000000
gen-2-2	0.048133	0.048133	1.000000
gen-2-3	0.034643	-0.158656	0.714286
gen-2-4	0.049214	0.049214	1.000000
gen-2-5	0.032050	-0.299172	0.500000
gen-2-6	0.027402	-0.322686	0.200000
gen-2-7	0.013225	-0.155911	0.750000
gen-2-8	0.040114	0.040114	1.000000
gen-2-9	0.022253	-0.339247	0.400000
gen-2-10	0.024213	-0.372327	0.277778
gen-2-11	0.057433	0.057433	1.000000
gen-2-12	0.014183	-0.308355	0.181818
gen-2-13	0.041150	0.041150	1.000000
gen-2-14	0.020210	-0.279300	0.550000
gen-2-15	0.022706	-0.127638	0.777778
gen-2-16	0.040408	0.040408	1.000000
gen-2-17	0.052767	0.052767	1.000000
gen-2-18	0.000020	-0.331202	0.500000
gen-2-19	0.020639	-0.361046	0.333333
gen-2-20	0.041200	0.041200	1.000000
gen-2-21	0.016311	-0.314911	0.500000
gen-2-22	0.001772	-0.348316	0.200000
gen-2-23	0.058700	0.058700	1.000000
gen-2-24	0.015869	-0.340584	0.416667
gen-2-25	0.039556	-0.256431	0.555556
gen-2-26	0.029075	-0.238723	0.600000
gen-2-27	0.041894	-0.354923	0.272727
gen-2-28	0.001731	-0.393658	0.250000
gen-2-29	0.040383	0.040383	1.000000
gen-2-30	0.014754	-0.353621	0.214286
gen-2-31	0.048750	0.048750	1.000000
gen-2-32	0.027230	-0.175733	0.700000
gen-2-33	0.041140	0.041140	1.000000
gen-2-34	0.036110	-0.295112	0.500000
gen-2-35	0.007457	-0.384321	0.300000
gen-2-36	0.049155	0.049155	1.000000
gen-2-37	0.007288	-0.323935	0.500000
gen-2-38	0.031169	-0.220773	0.625000
gen-2-39	0.048164	0.048164	1.000000
gen-2-40	0.029019	-0.321069	0.200000
gen-2-41	0.000125	0.000125	1.000000
gen-2-42	0.052833	0.052833	1.000000
gen-2-43	0.042267	0.042267	1.000000
gen-2-44	0.007872	-0.287787	0.166667
gen-2-45	0.040314	0.040314	1.000000
gen-2-46	0.005700	-0.325522	0.500000
gen-2-47	0.024114	-0.357571	0.333333
gen-2-48	0.042660	0.042660	1.000000
gen-2-49	0.018855	-0.276804	0.166667
gen-2-50	0.012289	-0.369396	0.333333
gen-2-51	0.048513	0.048513	1.000000
gen-2-52	0.025212	-0.349264	0.357143
gen-2-53	0.024089	-0.201426	0.666667
gen-2-54	0.000869	-0.394521	0.250000
gen-2-55	0.028958	0.028958	1.000000
gen-2-56	0.030630	-0.237168	0.600000
gen-2-57	0.020836	-0.375267	0.285714
gen-2-58	0.024645	-0.351994	0.350000
gen-2-59	0.016622	-0.365063	0.333333
gen-2-60	0.041225	0.041225	1.000000
gen-2-61	0.036067	0.036067	1.000000
gen-2-62	0.019139	-0.362546	0.333333
gen-2-63	0.059570	0.059570	1.000000
gen-2-64	0.014462	-0.238960	0.142857
gen-2-65	0.016317	-0.314906	0.500000
gen-2-66	0.025080	-0.242718	0.600000
gen-2-67	0.048750	0.048750	1.000000
gen-2-68	0.019433	-0.342067	0.400000
gen-2-69	0.053356	0.053356	1.000000
gen-2-70	0.000083	-0.225431	0.666667
gen-2-71	0.021336	-0.335118	0.416667
gen-2-72	0.024188	-0.337312	0.400000
gen-2-73	0.035500	-0.190015	0.666667
gen-2-74	0.048550	0.048550	1.000000
gen-2-75	0.017268	-0.204476	0.125000
gen-2-76	0.036963	0.036963	1.000000
gen-2-77	0.000075	-0.331147	0.500000
gen-2-78	0.000071	-0.331151	0.500000
gen-2-79	0.028640	-0.239158	0.600000
gen-2-80	0.036917	-0.332153	0.375000
gen-2-81	0.048733	0.048733	1.000000
gen-2-82	0.010189	-0.371496	0.333333
gen-2-83	0.017323	-0.378067	0.250000
gen-2-84	0.041383	0.041383	1.000000
gen-2-85	0.048550	0.048550	1.000000
gen-2-86	0.040382	0.040382	1.000000
gen-2-87	0.038293	-0.183451	0.125000
gen-2-88	0.032717	-0.317371	0.200000
gen-2-89	0.048575	0.048575	1.000000
gen-2-90	0.033942	-0.335128	0.375000
gen-2-91	0.049125	0.049125	1.000000
gen-2-92	0.010133	-0.371552	0.333333
gen-2-93	0.051083	0.051083	1.000000
gen-2-94	0.018194	-0.363491	0.333333
gen-2-95	0.035320	-0.232478	0.600000
gen-2-96	0.048508	0.048508	1.000000
gen-2-97	0.043020	-0.224778	0.600000
gen-2-98	0.049255	0.049255	1.000000
gen-2-99	0.012333	-0.369352	0.333333
gen-2-100	0.007156	0.007156	0.000000
gen-2-101	0.029060	0.029060	1.000000
gen-2-102	0.039471	-0.246448	0.571429
gen-2-103	0.039075	0.039075	1.000000
gen-2-104	0.024643	-0.336857	0.400000
gen-2-105	0.048688	0.048688	1.000000
gen-2-106	0.010455	-0.285204	0.166667
gen-2-107	0.048575	0.048575	1.000000
gen-2-108	0.023956	-0.201559	0.666667
gen-2-109	0.017272	-0.332816	0.200000
gen-2-110	0.039925	-0.238444	0.583333
gen-2-111	0.029042	0.029042	1.000000
gen-2-112	0.075320	0.075320	1.000000
gen-2-113	0.000043	-0.331179	0.500000
gen-2-114	0.024594	-0.186826	0.687500
gen-2-115	0.056470	0.056470	1.000000
gen-2-116	0.008156	0.008156	0.000000
gen-2-117	0.038475	0.038475	1.000000
gen-2-118	0.039300	0.039300	1.000000
gen-2-119	0.000050	-0.395340	0.250000
gen-2-120	0.049178	0.049178	1.000000
gen-2-121	0.000150	0.000150	1.000000
gen-2-122	0.034706	-0.346980	0.333333
gen-2-123	0.000200	-0.378335	0.222222
gen-2-124	0.000006	-0.395383	0.250000
gen-2-125	0.038544	-0.292678	0.500000
