Index	e_above_hull	formation_energy	Sn_fraction
gen-1-0	0.017480	-0.364080	0.333333
gen-1-1	0.029317	-0.301889	0.500000
gen-1-2	0.017184	-0.374446	0.300000
gen-1-3	0.044795	-0.303541	0.200000
gen-1-4	0.023532	-0.324458	0.444444
gen-1-5	0.020891	-0.340527	0.400000
gen-1-6	0.009883	-0.321322	0.500000
gen-1-7	0.021185	-0.360374	0.333333
gen-1-8	0.024855	-0.356705	0.333333
gen-1-9	0.016522	-0.362001	0.222222
gen-1-10	0.016207	-0.365352	0.333333
gen-1-11	0.025548	-0.330834	0.416667
gen-1-12	0.023573	-0.212511	0.650000
gen-1-13	0.033013	-0.348546	0.333333
gen-1-14	0.030130	-0.342274	0.363636
gen-1-15	0.025183	-0.192776	0.125000
gen-1-16	0.000033	-0.331172	0.500000
gen-1-17	0.026415	-0.265157	0.562500
gen-1-18	0.034233	-0.217704	0.625000
gen-1-19	0.034648	-0.201436	0.650000
gen-1-20	0.009258	-0.321947	0.500000
gen-1-21	0.033973	-0.314362	0.200000
gen-1-22	0.019378	-0.276598	0.555556
gen-1-23	0.018549	-0.373081	0.300000
gen-1-24	0.037291	-0.324127	0.400000
gen-1-25	0.027344	-0.347021	0.357143
gen-1-26	0.031420	-0.186539	0.125000
gen-1-27	0.021948	-0.263962	0.571429
gen-1-28	0.023033	-0.202481	0.666667
gen-1-29	0.014020	-0.203939	0.125000
gen-1-30	0.012173	-0.375681	0.312500
gen-1-31	0.003158	-0.287454	0.166667
gen-1-32	0.016717	-0.378667	0.250000
gen-1-33	0.044065	-0.207873	0.625000
gen-1-34	0.000013	-0.331192	0.500000
gen-1-35	0.031617	-0.193898	0.666667
gen-1-36	0.018971	-0.312235	0.500000
gen-1-37	0.030021	-0.301185	0.500000
gen-1-38	0.015031	-0.346387	0.400000
gen-1-39	0.044644	-0.346986	0.300000
gen-1-40	0.018939	-0.372691	0.300000
gen-1-41	0.027083	-0.142053	0.750000
gen-1-42	0.026544	-0.269431	0.555556
gen-1-43	0.013551	-0.204408	0.125000
gen-1-44	0.013715	-0.334275	0.444444
gen-1-45	0.010613	-0.183128	0.111111
gen-1-46	0.018819	-0.362741	0.333333
gen-1-47	0.001537	-0.393846	0.250000
gen-1-48	0.000000	-0.225515	0.666667
gen-1-49	0.034933	-0.190581	0.666667
gen-1-50	0.024228	-0.201287	0.666667
gen-1-51	0.021067	-0.257294	0.583333
gen-1-52	0.034371	-0.296835	0.500000
gen-1-53	0.043193	-0.352753	0.285714
gen-1-54	0.024733	-0.243058	0.600000
gen-1-55	0.023166	-0.338252	0.400000
gen-1-56	0.000879	-0.395067	0.285714
gen-1-57	0.010010	-0.371550	0.333333
gen-1-58	0.025665	-0.265907	0.562500
gen-1-59	0.016591	-0.344827	0.400000
gen-1-60	0.015619	-0.365941	0.333333
gen-1-61	0.013450	-0.317756	0.500000
gen-1-62	0.031364	-0.360266	0.300000
gen-1-63	0.034111	-0.327307	0.400000
gen-1-64	0.031992	-0.332783	0.388889
gen-1-65	0.032956	-0.336015	0.375000
gen-1-66	0.023323	-0.244468	0.600000
gen-1-67	0.021233	-0.246558	0.600000
gen-1-68	0.019896	-0.311310	0.500000
gen-1-69	0.010718	-0.221772	0.133333
gen-1-70	0.049460	-0.298876	0.200000
gen-1-71	0.037600	-0.357783	0.250000
gen-1-72	0.033646	-0.218292	0.625000
gen-1-73	0.033957	-0.159784	0.111111
gen-1-74	0.009687	-0.239410	0.142857
