Index	e_above_hull	formation_energy	Sn_fraction
mp-0	0.011241	-0.183724	0.714286
mp-1	0.000889	-0.365266	0.250000
mp-2	0.015944	0.015944	0.000000
mp-3	0.049689	0.049689	0.000000
mp-4	0.026950	0.026950	1.000000
mp-5	0.000404	-0.368824	0.285714
mp-6	0.004503	0.004503	0.000000
mp-7	0.015654	0.015654	1.000000
mp-8	0.015282	0.015282	1.000000
mp-9	0.004322	-0.170479	0.750000
mp-10	0.017642	-0.332976	0.222222
mp-11	0.013840	0.013840	0.000000
mp-12	0.002585	-0.313363	0.500000
mp-13	0.007472	0.007472	1.000000
mp-14	0.005928	-0.294234	0.185185
mp-15	0.013766	0.013766	0.000000
mp-16	0.000000	0.000000	1.000000
mp-17	0.008993	0.008993	1.000000
mp-18	0.010047	-0.305901	0.500000
mp-19	0.015084	0.015084	0.000000
mp-20	0.006915	-0.358761	0.300000
mp-21	0.017659	0.017659	1.000000
mp-22	0.000151	-0.308588	0.190476
mp-23	0.000000	0.000000	0.000000
mp-24	0.008998	0.008998	1.000000
mp-25	0.014662	0.014662	0.000000
mp-26	0.000019	-0.369120	0.277778
mp-27	0.275905	0.275905	0.000000
mp-28	0.023154	0.023154	1.000000
O-0	0.003026	-0.365571	0.272727
O-1	0.000520	-0.365635	0.250000
O-2	0.273449	0.156914	0.833333
O-3	0.092372	-0.223576	0.500000
O-4	0.078096	-0.262716	0.400000
O-5	0.087606	-0.228343	0.500000
O-6	0.038022	-0.302790	0.400000
O-7	0.053619	-0.168231	0.666667
O-8	0.031006	-0.284943	0.500000
O-9	0.129408	-0.045393	0.750000
O-10	0.014369	-0.351307	0.300000
O-11	0.071931	-0.123034	0.714286
O-12	0.026992	-0.330396	0.333333
O-13	0.080077	-0.094725	0.750000
O-14	0.019522	-0.183088	0.125000
O-15	0.131141	0.053452	0.888889
O-16	0.081589	-0.093212	0.750000
O-17	0.039805	-0.276143	0.500000
O-18	0.040755	-0.275193	0.500000
O-19	0.147165	0.030631	0.833333
O-20	1.061144	0.839294	0.666667
O-21	0.000000	-0.321757	0.200000
O-22	0.080052	-0.094750	0.750000
O-23	0.223559	-0.133829	0.333333
O-24	0.079564	-0.095237	0.750000
O-25	0.004359	-0.364781	0.277778
O-26	0.323605	0.007657	0.500000
O-27	0.026842	-0.330546	0.333333
O-28	0.052414	-0.207075	0.600000
O-29	0.206158	-0.074504	0.562500
O-30	0.273061	0.092963	0.111111
O-31	0.031006	-0.284943	0.500000
O-32	0.005332	-0.363896	0.285714
O-33	0.080077	-0.094725	0.750000
O-34	0.046035	-0.269913	0.500000
O-35	0.897646	0.540258	0.333333
O-36	0.006797	-0.263350	0.166667
O-37	0.054987	-0.285324	0.214286
O-38	1.345043	1.036305	0.190476
O-39	0.248695	0.026844	0.666667
O-40	0.061145	-0.305010	0.250000
O-41	0.055615	-0.308148	0.307692
O-42	0.813105	0.497157	0.500000
O-43	0.000000	-0.350618	0.222222
O-44	0.257945	-0.108210	0.250000
O-45	0.003032	-0.365565	0.272727
O-46	0.031006	-0.284943	0.500000
O-47	0.000514	-0.365642	0.250000
O-48	0.015689	-0.334929	0.222222
O-49	0.069120	-0.297035	0.250000
O-50	0.000520	-0.365635	0.250000
O-51	0.061667	-0.295721	0.333333
O-52	0.413977	0.066949	0.375000
a-0	0.011997	-0.303951	0.500000
a-1	0.047091	-0.127710	0.750000
a-2	0.068884	-0.288504	0.333333
a-3	0.000000	-0.308739	0.190476
a-4	0.000708	-0.365448	0.250000
a-5	0.174592	0.058058	0.833333
a-6	0.071227	-0.286161	0.333333
a-7	0.056747	-0.259201	0.500000
a-8	0.036886	-0.165723	0.125000
a-9	0.017402	-0.204448	0.666667
a-10	0.014662	-0.342726	0.333333
a-11	0.000741	-0.315207	0.500000
a-12	0.060867	-0.255081	0.500000
a-13	0.037482	-0.319906	0.333333
a-14	0.014368	-0.301580	0.500000
a-15	0.014892	-0.342496	0.333333
a-16	0.053903	-0.205587	0.600000
a-17	0.037533	-0.319855	0.333333
a-18	0.010489	-0.346899	0.333333
a-19	0.071520	-0.150331	0.666667
a-20	0.109431	-0.256724	0.250000
a-21	0.083529	-0.232419	0.500000
a-22	0.130713	-0.226675	0.333333
a-23	0.069519	-0.246429	0.500000
a-24	0.009724	-0.347664	0.333333
a-25	0.107516	-0.249872	0.333333
a-26	0.033410	-0.083124	0.833333
a-27	0.004553	-0.170248	0.750000
a-28	0.006939	-0.358737	0.300000
a-29	0.033644	-0.188206	0.666667
a-30	0.083123	-0.232825	0.500000
a-31	0.000870	-0.173931	0.750000
a-32	0.070555	-0.104246	0.750000
a-33	0.280732	-0.076656	0.333333
a-34	0.008271	-0.261876	0.166667
a-35	0.172815	-0.184573	0.333333
a-36	0.002188	-0.313760	0.500000
a-37	0.001638	-0.314310	0.500000
a-38	0.029732	-0.192118	0.666667
a-39	0.027333	-0.330055	0.333333
a-40	0.129752	-0.236403	0.250000
a-41	0.020120	-0.201730	0.666667
a-42	0.033886	-0.140915	0.750000
a-43	0.004385	-0.311563	0.500000
a-44	0.000496	-0.365660	0.250000
a-45	0.037575	-0.319813	0.333333
a-46	0.066285	-0.108516	0.750000
a-47	0.063372	-0.302784	0.250000
a-48	0.122166	-0.235222	0.333333
a-49	0.022311	-0.199539	0.666667
a-50	0.183963	-0.137794	0.200000
a-51	0.068133	-0.216449	0.555556
a-52	0.013084	-0.208766	0.666667
a-53	0.105042	-0.261113	0.250000
a-54	0.216255	-0.105503	0.200000
a-55	0.011325	-0.346063	0.333333
a-56	0.049563	-0.307825	0.333333
a-57	0.103163	-0.262992	0.250000
a-58	0.000158	-0.368982	0.277778
a-59	0.015074	-0.206776	0.666667
a-60	0.072745	-0.149105	0.666667
a-61	0.046091	-0.175759	0.666667
a-62	0.037548	-0.319840	0.333333
a-63	0.004971	-0.169830	0.750000
a-64	0.157086	-0.158862	0.500000
a-65	0.001024	-0.365132	0.250000
a-66	0.185540	-0.171848	0.333333
a-67	0.088293	-0.277863	0.250000
a-68	0.015676	-0.206175	0.666667
a-69	0.056363	-0.259585	0.500000
a-70	0.189388	-0.132369	0.200000
a-71	0.049521	-0.125280	0.750000
a-72	0.063416	-0.302739	0.250000
a-73	0.010334	-0.129507	0.800000
a-74	0.241692	-0.124463	0.250000
a-75	0.042654	-0.179196	0.666667
a-76	0.000474	-0.174327	0.750000
a-77	0.029566	-0.192284	0.666667
a-78	0.039509	-0.276439	0.500000
a-79	0.038173	-0.136628	0.750000
a-80	0.000000	-0.369228	0.285714
a-81	0.037430	-0.319958	0.333333
a-82	0.007053	-0.358623	0.300000
a-83	0.001424	-0.314524	0.500000
a-84	0.046759	-0.128043	0.750000
a-85	0.130808	-0.235347	0.250000
a-86	0.014835	-0.301113	0.500000
a-87	0.127335	-0.188613	0.500000
a-88	0.203734	-0.112214	0.500000
a-89	0.000708	-0.365448	0.250000
a-90	0.082769	-0.233179	0.500000
a-91	0.037570	-0.319818	0.333333
a-92	0.061657	-0.295731	0.333333
a-93	0.052982	-0.121819	0.750000
a-94	0.056127	-0.165723	0.666667
a-95	0.001600	-0.314348	0.500000
a-96	0.239535	-0.126621	0.250000
a-97	0.033286	-0.188564	0.666667
a-98	0.093643	-0.128208	0.666667
a-99	0.011608	-0.183358	0.714286
a-100	0.055221	-0.166629	0.666667
a-101	0.228484	-0.041662	0.166667
a-102	0.038633	-0.136168	0.750000
a-103	0.017901	-0.203949	0.666667
a-104	0.000038	-0.308701	0.190476
a-105	0.033896	-0.082638	0.833333
a-106	0.157114	-0.158834	0.500000
a-107	0.000862	-0.365293	0.250000
a-108	0.014566	-0.301382	0.500000
a-109	0.004964	-0.169837	0.750000
a-110	0.000000	-0.369139	0.277778
a-111	0.185800	-0.171587	0.333333
a-112	0.107474	-0.249914	0.333333
a-113	0.000137	-0.369091	0.285714
a-114	0.121816	-0.203695	0.461538
a-115	0.063373	-0.302782	0.250000
a-116	0.192457	0.075923	0.833333
a-117	0.000217	-0.174584	0.750000
a-118	0.015246	-0.342142	0.333333
a-119	0.017640	-0.332977	0.222222
a-120	0.001240	-0.314708	0.500000
a-121	0.015015	-0.342373	0.333333
a-122	0.045927	-0.175923	0.666667
a-123	0.224147	-0.091801	0.500000
a-124	0.135762	-0.180186	0.500000
a-125	0.080749	-0.094052	0.750000
a-126	0.017637	-0.332980	0.222222
a-127	0.133532	-0.182416	0.500000
a-128	0.011616	-0.183350	0.714286
a-129	0.121122	-0.149024	0.166667
a-130	0.000000	-0.366155	0.250000
a-131	0.090831	-0.225117	0.500000
a-132	0.072688	-0.257073	0.444444
a-133	0.043905	-0.130896	0.750000
a-134	0.018380	-0.251767	0.166667
a-135	0.022517	-0.199333	0.666667
a-136	0.063341	-0.302815	0.250000
a-137	0.130580	-0.235575	0.250000
a-138	0.015356	-0.206494	0.666667
a-139	0.003734	-0.171067	0.750000
a-140	0.015046	-0.206804	0.666667
a-141	0.013076	-0.302872	0.500000
a-142	0.052499	-0.263449	0.500000
a-143	0.022837	-0.199013	0.666667
a-144	0.033309	-0.083225	0.833333
a-145	0.179603	0.039762	0.800000
a-146	0.083239	-0.232709	0.500000
a-147	0.047031	-0.268917	0.500000
a-148	0.038493	-0.141605	0.111111
a-149	0.224329	-0.091619	0.500000
a-150	0.005545	-0.294618	0.185185
a-151	0.047609	-0.127192	0.750000
a-152	0.093003	-0.128847	0.666667
a-153	0.032710	-0.283238	0.500000
a-154	0.113723	-0.061078	0.750000
a-155	0.046337	-0.291046	0.413793
a-156	0.004953	-0.169848	0.750000
gen-1-0	0.018146	-0.339241	0.333333
gen-1-1	0.023073	-0.292875	0.500000
gen-1-2	0.012448	-0.353228	0.300000
gen-1-3	0.043430	-0.278327	0.200000
gen-1-4	0.021033	-0.308729	0.444444
gen-1-5	0.020041	-0.320771	0.400000
gen-1-6	0.002280	-0.313668	0.500000
gen-1-7	0.021513	-0.335875	0.333333
gen-1-8	0.024613	-0.332775	0.333333
gen-1-9	0.018303	-0.332315	0.222222
gen-1-10	0.017209	-0.340179	0.333333
gen-1-11	0.022208	-0.314460	0.416667
gen-1-12	0.012425	-0.218835	0.650000
gen-1-13	0.032808	-0.324580	0.333333
gen-1-14	0.028032	-0.321821	0.363636
gen-1-15	0.027643	-0.174967	0.125000
gen-1-16	0.000000	-0.315948	0.500000
gen-1-17	0.015768	-0.264893	0.562500
gen-1-18	0.023788	-0.221587	0.625000
gen-1-19	0.025023	-0.206237	0.650000
gen-1-20	0.002125	-0.313823	0.500000
gen-1-21	0.033320	-0.288437	0.200000
gen-1-22	0.013058	-0.271524	0.555556
gen-1-23	0.016936	-0.348740	0.300000
gen-1-24	0.032082	-0.308730	0.400000
gen-1-25	0.026081	-0.325387	0.357143
gen-1-26	0.032696	-0.169913	0.125000
gen-1-27	0.014431	-0.261189	0.571429
gen-1-28	0.014027	-0.207823	0.666667
gen-1-29	0.018146	-0.184464	0.125000
gen-1-30	0.011008	-0.351560	0.312500
gen-1-31	0.008588	-0.261558	0.166667
gen-1-32	0.015225	-0.350930	0.250000
gen-1-33	0.034757	-0.210617	0.625000
gen-1-34	0.000793	-0.315155	0.500000
gen-1-35	0.021652	-0.200198	0.666667
gen-1-36	0.012849	-0.303099	0.500000
gen-1-37	0.023970	-0.291978	0.500000
gen-1-38	0.014688	-0.326124	0.400000
gen-1-39	0.044239	-0.321437	0.300000
gen-1-40	0.017367	-0.348309	0.300000
gen-1-41	0.020412	-0.154389	0.750000
gen-1-42	0.019115	-0.265467	0.555556
gen-1-43	0.017940	-0.184670	0.125000
gen-1-44	0.013387	-0.316374	0.444444
gen-1-45	0.015448	-0.164649	0.111111
gen-1-46	0.016213	-0.341175	0.333333
gen-1-47	0.004135	-0.362021	0.250000
gen-1-48	0.005400	-0.216450	0.666667
gen-1-49	0.025770	-0.196081	0.666667
gen-1-50	0.013796	-0.208054	0.666667
gen-1-51	0.012285	-0.256614	0.583333
gen-1-52	0.029131	-0.286817	0.500000
gen-1-53	0.043002	-0.326226	0.285714
gen-1-54	0.017990	-0.241499	0.600000
gen-1-55	0.021737	-0.319075	0.400000
gen-1-56	0.001621	-0.367607	0.285714
gen-1-57	0.009854	-0.347534	0.333333
gen-1-58	0.014174	-0.266487	0.562500
gen-1-59	0.017142	-0.323670	0.400000
gen-1-60	0.017818	-0.339569	0.333333
gen-1-61	0.007543	-0.308405	0.500000
gen-1-62	0.030030	-0.335646	0.300000
gen-1-63	0.025291	-0.315521	0.400000
gen-1-64	0.031149	-0.312426	0.388889
gen-1-65	0.030949	-0.316078	0.375000
gen-1-66	0.013667	-0.245822	0.600000
gen-1-67	0.017198	-0.242291	0.600000
gen-1-68	0.014683	-0.301265	0.500000
gen-1-69	0.016088	-0.200029	0.133333
gen-1-70	0.044230	-0.277527	0.200000
gen-1-71	0.034095	-0.332060	0.250000
gen-1-72	0.022564	-0.222810	0.625000
gen-1-73	0.038324	-0.141774	0.111111
gen-1-74	0.014411	-0.217143	0.142857
gen-1-75	0.015963	-0.254183	0.166667
gen-1-76	0.016852	-0.349304	0.250000
gen-1-77	0.003651	0.003651	0.000000
gen-1-78	0.001375	-0.314573	0.500000
gen-1-79	0.031433	-0.237466	0.583333
gen-1-80	0.015244	-0.260376	0.571429
gen-1-81	0.027867	-0.308801	0.416667
gen-1-82	0.003095	-0.318662	0.200000
gen-1-83	0.015525	-0.206325	0.666667
gen-1-84	0.003881	-0.170920	0.750000
gen-1-85	0.014319	-0.301629	0.500000
gen-1-86	0.027131	-0.294626	0.200000
gen-1-87	0.024335	-0.307153	0.437500
gen-1-88	0.022300	-0.199550	0.666667
gen-1-89	0.021792	-0.200058	0.666667
gen-1-90	0.026818	-0.243328	0.166667
gen-1-91	0.002945	-0.171856	0.750000
gen-1-92	0.025702	-0.296055	0.200000
gen-1-93	0.000874	-0.315074	0.500000
gen-1-94	0.014659	-0.319049	0.428571
gen-1-95	0.013937	-0.343451	0.333333
gen-1-96	0.017043	-0.323769	0.400000
gen-1-97	0.038508	-0.327168	0.300000
gen-1-98	0.022675	-0.246225	0.583333
gen-1-99	0.025212	-0.220162	0.625000
gen-1-100	0.017292	-0.348384	0.300000
gen-1-101	0.019034	-0.338354	0.333333
gen-1-102	0.024833	-0.197018	0.666667
gen-1-103	0.011406	-0.304542	0.500000
gen-1-104	0.010848	-0.305100	0.500000
gen-1-105	0.016791	-0.340597	0.333333
gen-1-106	0.014255	0.014255	0.000000
gen-1-107	0.002126	-0.313823	0.500000
gen-1-108	0.000975	-0.314973	0.500000
gen-1-109	0.027388	-0.329999	0.333333
gen-1-110	0.036931	-0.314537	0.357143
gen-1-111	0.011987	-0.258159	0.166667
gen-1-112	0.026409	-0.314403	0.400000
gen-1-113	0.022166	-0.318646	0.400000
gen-1-114	0.041292	-0.324863	0.250000
gen-1-115	0.025662	-0.196188	0.666667
gen-1-116	0.029468	-0.314107	0.388889
gen-1-117	0.011364	-0.210486	0.666667
gen-1-118	0.033874	-0.323514	0.333333
gen-1-119	0.010596	-0.346792	0.333333
gen-1-120	0.003345	-0.312603	0.500000
gen-1-121	0.031633	-0.311941	0.388889
gen-1-122	0.010245	-0.192786	0.700000
gen-1-123	0.010242	-0.347146	0.333333
gen-1-124	0.040799	-0.275149	0.500000
gen-1-125	0.001009	-0.365146	0.250000
gen-1-126	0.012402	-0.272180	0.555556
gen-1-127	0.014353	-0.343035	0.333333
gen-1-128	0.021774	-0.314894	0.416667
gen-1-129	0.014805	0.014805	0.000000
