Index	e_above_hull	formation_energy	Sn_fraction
mp-0	0.009650	-0.183782	0.714286
mp-1	0.000006	-0.395759	0.250000
mp-2	0.008921	0.008921	0.000000
mp-3	0.042129	0.042129	0.000000
mp-4	0.013124	0.013124	1.000000
mp-5	0.000000	-0.396466	0.285714
mp-6	0.000000	0.000000	0.000000
mp-7	0.052900	0.052900	1.000000
mp-8	0.052200	0.052200	1.000000
mp-9	0.013125	-0.156128	0.750000
mp-10	0.015672	-0.363249	0.222222
mp-11	0.008088	0.008088	0.000000
mp-12	0.008883	-0.322623	0.500000
mp-13	0.048500	0.048500	1.000000
mp-14	0.006826	-0.322071	0.185185
mp-15	0.007588	0.007588	0.000000
mp-16	0.049500	0.049500	1.000000
mp-17	0.049187	0.049187	1.000000
mp-18	0.015175	-0.316331	0.500000
mp-19	0.007713	0.007713	0.000000
mp-20	0.007467	-0.384669	0.300000
mp-21	0.000000	0.000000	1.000000
mp-22	0.000166	-0.338128	0.190476
mp-23	0.000088	0.000088	0.000000
mp-24	0.038350	0.038350	1.000000
mp-25	0.007854	0.007854	0.000000
mp-26	0.000102	-0.396803	0.277778
mp-27	0.246038	0.246038	0.000000
mp-28	0.058400	0.058400	1.000000
O-0	0.000000	-0.397185	0.272727
O-1	0.000006	-0.395759	0.250000
O-2	0.201383	0.088548	0.833333
O-3	0.061417	-0.270090	0.500000
O-4	0.059147	-0.302674	0.400000
O-5	0.056650	-0.274856	0.500000
O-6	0.019073	-0.342748	0.400000
O-7	0.000000	-0.225671	0.666667
O-8	0.000050	-0.331456	0.500000
O-9	0.060956	-0.108297	0.750000
O-10	0.007427	-0.384709	0.300000
O-11	0.009836	-0.183596	0.714286
O-12	0.016047	-0.365983	0.333333
O-13	0.011625	-0.157628	0.750000
O-14	0.016988	-0.205017	0.125000
O-15	0.056667	-0.018557	0.888889
O-16	0.013138	-0.156116	0.750000
O-17	0.008850	-0.322656	0.500000
O-18	0.009800	-0.321706	0.500000
O-19	0.075100	-0.037735	0.833333
O-20	1.007525	0.781854	0.666667
O-21	0.001879	-0.348603	0.200000
O-22	0.011600	-0.157653	0.750000
O-23	0.212614	-0.169417	0.333333
O-24	0.011113	-0.158141	0.750000
O-25	0.000180	-0.396726	0.277778
O-26	0.292650	-0.038856	0.500000
O-27	0.015897	-0.366133	0.333333
O-28	0.007860	-0.260145	0.600000
O-29	0.166703	-0.125115	0.562500
O-30	0.269283	0.071944	0.111111
O-31	0.000050	-0.331456	0.500000
O-32	0.000105	-0.396361	0.285714
O-33	0.011625	-0.157628	0.750000
O-34	0.015079	-0.316427	0.500000
O-35	0.886701	0.504671	0.333333
O-36	0.007997	-0.288010	0.166667
O-37	0.055658	-0.313106	0.214286
O-38	1.348377	1.010083	0.190476
O-39	0.195075	-0.030596	0.666667
O-40	0.060631	-0.335134	0.250000
O-41	0.047749	-0.342055	0.307692
O-42	0.782150	0.450644	0.500000
O-43	0.000000	-0.378921	0.222222
O-44	0.257431	-0.138334	0.250000
O-45	0.000006	-0.397179	0.272727
O-46	0.000050	-0.331456	0.500000
O-47	0.000000	-0.395766	0.250000
O-48	0.015689	-0.363232	0.222222
O-49	0.068606	-0.327159	0.250000
O-50	0.000006	-0.395759	0.250000
O-51	0.050722	-0.331308	0.333333
O-52	0.398029	0.028630	0.375000
a-0	0.019000	-0.312506	0.500000
a-1	0.056125	-0.113128	0.750000
a-2	0.081422	-0.300608	0.333333
a-3	0.000000	-0.338294	0.190476
a-4	0.000256	-0.395509	0.250000
a-5	0.164500	0.051665	0.833333
