Index	e_above_hull	formation_energy	Sn_fraction
0	0.019736	-0.172107	0.714286
1	0.000012	-0.403713	0.250000
2	0.010600	0.010600	0.000000
3	0.049300	0.049300	0.000000
4	0.014141	0.014141	1.000000
5	0.000133	-0.414029	0.285714
6	0.000250	0.000250	0.000000
7	0.054850	0.054850	1.000000
8	0.052450	0.052450	1.000000
9	0.015450	-0.152413	0.750000
10	0.011239	-0.370872	0.222222
11	0.007900	0.007900	0.000000
12	0.015567	-0.320158	0.500000
13	0.058650	0.058650	1.000000
14	0.004082	-0.331756	0.185185
15	0.007700	0.007700	0.000000
16	0.059250	0.059250	1.000000
17	0.051275	0.051275	1.000000
18	0.023492	-0.312233	0.500000
19	0.007525	0.007525	0.000000
20	0.003518	-0.406540	0.300000
21	0.000000	0.000000	1.000000
22	0.000039	-0.343885	0.190476
23	0.000000	0.000000	0.000000
24	0.085900	0.085900	1.000000
25	0.007633	0.007633	0.000000
26	0.000172	-0.411869	0.277778
27	0.273725	0.273725	0.000000
28	0.051150	0.051150	1.000000
0	0.026300	-0.309425	0.500000
1	0.026700	-0.141163	0.750000
2	0.089100	-0.311383	0.333333
3	0.000014	-0.343910	0.190476
4	0.000138	-0.403587	0.250000
5	0.155317	0.043408	0.833333
6	0.083929	-0.316554	0.333333
7	0.058000	-0.277725	0.500000
8	0.036300	-0.194356	0.125000
9	0.036900	-0.186917	0.666667
10	0.001050	-0.399433	0.333333
11	0.000000	-0.335725	0.500000
12	0.062075	-0.273650	0.500000
13	0.046333	-0.354150	0.333333
14	0.023333	-0.312392	0.500000
15	0.000783	-0.399700	0.333333
16	0.072110	-0.196470	0.600000
17	0.046333	-0.354150	0.333333
18	0.001400	-0.399083	0.333333
19	0.055617	-0.168200	0.666667
20	0.110537	-0.293188	0.250000
21	0.088550	-0.247175	0.500000
22	0.166333	-0.234150	0.333333
23	0.070350	-0.265375	0.500000
24	0.001667	-0.398817	0.333333
25	0.127450	-0.273033	0.333333
26	0.038717	-0.073192	0.833333
27	0.015321	-0.152542	0.750000
28	0.003448	-0.406610	0.300000
29	0.031233	-0.192583	0.666667
30	0.094300	-0.241425	0.500000
31	0.014875	-0.152988	0.750000
32	0.053450	-0.114412	0.750000
33	0.250100	-0.150383	0.333333
34	0.001100	-0.306442	0.166667
35	0.208467	-0.192017	0.333333
36	0.015100	-0.320625	0.500000
37	0.001120	-0.334605	0.500000
38	0.036650	-0.187167	0.666667
39	0.028900	-0.371583	0.333333
40	0.140888	-0.262837	0.250000
41	0.021125	-0.202692	0.666667
42	0.026125	-0.141738	0.750000
43	0.016425	-0.319300	0.500000
44	0.000063	-0.403662	0.250000
45	0.046300	-0.354183	0.333333
46	0.052800	-0.115063	0.750000
47	0.057488	-0.346237	0.250000
48	0.123467	-0.277017	0.333333
49	0.059750	-0.164067	0.666667
50	0.184895	-0.170485	0.200000
51	0.067739	-0.230683	0.555556
52	0.018483	-0.205333	0.666667
53	0.103038	-0.300687	0.250000
54	0.187150	-0.168230	0.200000
55	0.001167	-0.399317	0.333333
56	0.052567	-0.347917	0.333333
57	0.102613	-0.301112	0.250000
58	0.000228	-0.411814	0.277778
59	0.022117	-0.201700	0.666667
60	0.074117	-0.149700	0.666667
61	0.040883	-0.182933	0.666667
62	0.046333	-0.354150	0.333333
63	0.015850	-0.152013	0.750000
64	0.097200	-0.238525	0.500000
65	0.000188	-0.403538	0.250000
66	0.167667	-0.232817	0.333333
67	0.088831	-0.314894	0.250000
68	0.020250	-0.203567	0.666667
69	0.063050	-0.272675	0.500000
70	0.180570	-0.174810	0.200000
71	0.065000	-0.102863	0.750000
72	0.057463	-0.346262	0.250000
73	0.023070	-0.111220	0.800000
74	0.271162	-0.132563	0.250000
75	0.054733	-0.169083	0.666667
76	0.014112	-0.153750	0.750000
77	0.036683	-0.187133	0.666667
78	0.045900	-0.289825	0.500000
79	0.032325	-0.135537	0.750000
80	0.000362	-0.413800	0.285714
81	0.046400	-0.354083	0.333333
82	0.003458	-0.406600	0.300000
83	0.000000	-0.335725	0.500000
84	0.026700	-0.141163	0.750000
85	0.140513	-0.263212	0.250000
86	0.023408	-0.312317	0.500000
87	0.121375	-0.214350	0.500000
88	0.218675	-0.117050	0.500000
89	0.000138	-0.403587	0.250000
90	0.094225	-0.241500	0.500000
91	0.046333	-0.354150	0.333333
92	0.037933	-0.362550	0.333333
93	0.051500	-0.116363	0.750000
94	0.042333	-0.181483	0.666667
95	0.000000	-0.335725	0.500000
96	0.267413	-0.136312	0.250000
97	0.031267	-0.192550	0.666667
98	0.077717	-0.146100	0.666667
99	0.019764	-0.172079	0.714286
100	0.040683	-0.183133	0.666667
101	0.213350	-0.094192	0.166667
102	0.032175	-0.135687	0.750000
103	0.023833	-0.199983	0.666667
104	0.000000	-0.343924	0.190476
105	0.039017	-0.072892	0.833333
106	0.097175	-0.238550	0.500000
107	0.000188	-0.403538	0.250000
108	0.027087	-0.308638	0.500000
109	0.015825	-0.152038	0.750000
110	0.000094	-0.411947	0.277778
111	0.216183	-0.184300	0.333333
112	0.127467	-0.273017	0.333333
113	0.000162	-0.414000	0.285714
114	0.109054	-0.241615	0.461538
115	0.057488	-0.346237	0.250000
116	0.178133	0.066225	0.833333
117	0.014875	-0.152988	0.750000
118	0.000800	-0.399683	0.333333
119	0.011506	-0.370606	0.222222
120	0.000625	-0.335100	0.500000
121	0.000867	-0.399617	0.333333
122	0.040883	-0.182933	0.666667
123	0.201700	-0.134025	0.500000
124	0.121800	-0.213925	0.500000
125	0.064175	-0.103687	0.750000
126	0.011633	-0.370478	0.222222
127	0.120800	-0.214925	0.500000
128	0.019814	-0.172029	0.714286
129	0.136800	-0.170742	0.166667
130	0.000012	-0.403713	0.250000
131	0.100400	-0.235325	0.500000
132	0.085244	-0.272067	0.444444
133	0.033200	-0.134663	0.750000
134	0.015967	-0.291575	0.166667
135	0.058917	-0.164900	0.666667
136	0.057463	-0.346262	0.250000
137	0.140563	-0.263162	0.250000
138	0.021167	-0.202650	0.666667
139	0.014000	-0.153862	0.750000
140	0.022117	-0.201700	0.666667
141	0.026675	-0.309050	0.500000
142	0.056550	-0.279175	0.500000
143	0.059317	-0.164500	0.666667
144	0.040533	-0.071375	0.833333
145	0.170070	0.035780	0.800000
146	0.094200	-0.241525	0.500000
147	0.049367	-0.286358	0.500000
148	0.028622	-0.176406	0.111111
149	0.216650	-0.119075	0.500000
150	0.004088	-0.331751	0.185185
151	0.026725	-0.141138	0.750000
152	0.069067	-0.154750	0.666667
153	0.037675	-0.298050	0.500000
154	0.079137	-0.088725	0.750000
155	0.045724	-0.323497	0.413793
156	0.015400	-0.152462	0.750000
0	0.000033	-0.410659	0.272727
1	0.000000	-0.403725	0.250000
2	0.178133	0.066225	0.833333
